step_index,current_A,current_mA,voltage_V,power_W,power_mW,is_above_cutoff,is_increasing_current
0,0.0008922833333333334,0.8922833333333334,1.2251888888888889,0.0010932156257407407,1.0932156257407408,True,True
1,0.0014151949999999997,1.4151949999999998,1.18525,0.0016773598737499997,1.6773598737499997,True,True
2,0.007743783333333333,7.743783333333333,0.9611222222222222,0.00744272224574074,7.44272224574074,True,True
3,0.011944264999999999,11.944265,0.64212,0.0076696514418,7.6696514418,True,True
4,0.017562391666666663,17.562391666666663,0.6037555555555555,0.010603391537592589,10.60339153759259,True,True
5,0.021788397499999994,21.788397499999995,0.6023500000000002,0.013124241234125,13.124241234125,True,True
6,0.02781186666666666,27.81186666666666,0.5968111111111111,0.0165984310474074,16.598431047407402,True,True
7,0.03254296999999999,32.54296999999999,0.59246,0.019280408006199994,19.280408006199995,True,True
8,0.03744314166666666,37.44314166666666,0.5870111111111112,0.021979540193240738,21.979540193240737,True,True
9,0.043896775,43.896775,0.5779666666666666,0.025370872724166663,25.370872724166663,True,True
10,0.04850939,48.509389999999996,0.5717800000000001,0.027736699014200002,27.736699014200003,True,True
11,0.053776266666666656,53.77626666666666,0.5634999999999999,0.030302926266666655,30.302926266666656,True,True
12,0.057263945000000004,57.26394500000001,0.55786,0.0319452643577,31.9452643577,True,True
13,0.06337475833333334,63.37475833333334,0.5458555555555555,0.03459346391824074,34.59346391824074,True,True
14,0.0689205275,68.92052749999999,0.5336200000000001,0.036777371884550006,36.77737188455001,True,True
15,0.07365608,73.65608,0.52229,0.0384698340232,38.4698340232,True,True
16,0.07792821666666666,77.92821666666666,0.5092222222222221,0.0396827796648148,39.6827796648148,True,True
17,0.0833231825,83.3231825,0.49185,0.040982507312625,40.982507312624996,False,True
18,0.08793649999999999,87.93649999999998,0.47333333333333333,0.04162327666666666,41.62327666666666,False,True
19,0.09207141499999999,92.07141499999999,0.45153,0.041573006014949995,41.573006014949996,False,True
20,0.0965632,96.5632,0.42491111111111113,0.041030776604444444,41.03077660444444,False,True
21,0.101099945,101.09994499999999,0.38887000000000005,0.03931473561215,39.31473561215,False,True
22,0.09874797499999999,98.74797499999998,0.3534777777777778,0.03490521476305555,34.905214763055554,False,False
