file,charge_current_setpoint_A,charge_duration_setpoint_s,repeat,hydrogen_volume_mL,input_charge_C,output_energy_J,usable_discharge_duration_s,startup_ignore_s,stable_start_s,stable_end_s,stable_sample_count,stable_avg_voltage_V,stable_avg_current_A,stable_avg_power_W
discharge_020A_120s_r1.csv,0.2,120,1,3.0,23.6356241125,8.345298105785,314.0,5.0,5.0,118.0,108,1.5851129629629634,0.20030861666666666,0.3175096626862268
discharge_020A_30s_r1.csv,0.2,30,1,0.2,5.999188162499999,4.0043681051475,146.0,5.0,5.0,30.0,24,1.5092833333333335,0.19998136875000003,0.30182854132864584
discharge_020A_60s_r1.csv,0.2,60,1,1.6,11.9997145875,4.085042568621249,142.0,5.0,5.0,60.0,53,1.4984037735849052,0.2000016816037736,0.2996833987771698
discharge_030A_120s_r1.csv,0.3,120,1,4.2,35.736866975,10.6985582569725,393.0,5.0,5.0,119.0,109,1.5291275229357795,0.3003313185779817,0.4592463590099311
discharge_030A_30s_r1.csv,0.3,30,1,1.6,8.699212849999999,1.8425723516387498,78.0,5.0,5.0,29.0,24,1.7182875,0.300009465625,0.5155050106146875
discharge_030A_60s_r1.csv,0.3,60,1,2.2,17.98357095,5.924772843398749,204.0,5.0,5.0,60.0,53,1.562141509433962,0.29973892028301885,0.4682348573032546
discharge_040A_120s_r1.csv,0.4,120,1,6.0,47.939512199999996,12.87478469584625,447.0,5.0,5.0,120.0,110,1.634111818181818,0.39950602545454544,0.6528378334238407
discharge_040A_30s_r1.csv,0.4,30,1,2.2,11.979282637499999,4.660783291314999,167.0,5.0,5.0,30.0,25,1.6207960000000003,0.399336046,0.6472426198939
discharge_040A_60s_r1.csv,0.4,60,1,4.0,24.0007468875,7.75575775513375,280.0,5.0,5.0,60.0,53,1.5927188679245283,0.40005830613207544,0.6371814665341036
