pem_state,ems_state,charge_current_setpoint_A,charge_duration_setpoint_s,hydrogen_volume_mL,avg_usable_power_W,usable_discharge_duration_s,output_energy_J,min_discharge_voltage_V,file
EMPTY,LOW,0.3,30,1.6,0.024231077895271316,135.0,3.2886273513512503,-0.064,discharge_030A_30s_r1.csv
EMPTY,LOW,0.2,30,0.2,0.027136397193292253,148.0,4.054505300535,-0.049,discharge_020A_30s_r1.csv
LOW,LOW,0.2,60,1.6,0.02869614067186594,145.0,4.160841652749999,-0.0552,discharge_020A_60s_r1.csv
LOW,LOW,0.4,30,2.2,0.027619023619095094,170.0,4.73410960235875,-0.034,discharge_040A_30s_r1.csv
MEDIUM,MEDIUM,0.3,60,2.2,0.028766850271616157,207.0,5.9982560135712495,-0.0427,discharge_030A_60s_r1.csv
HIGH,HIGH,0.4,60,4.0,0.02753694797964545,288.0,7.9552737679574985,-0.064,discharge_040A_60s_r1.csv
HIGH,HIGH,0.2,120,3.0,0.02632216180259542,413.0,10.91122512931625,-0.064,discharge_020A_120s_r1.csv
FULL,HIGH,0.3,120,4.2,0.026880012067031247,437.0,11.796879195194999,-0.0628,discharge_030A_120s_r1.csv
FULL,HIGH,0.4,120,6.0,0.028641288391224255,459.0,13.171795327023748,-0.005299999999999999,discharge_040A_120s_r1.csv
