file,charge_current_setpoint_A,charge_duration_setpoint_s,repeat,hydrogen_volume_mL,hydrogen_per_input_energy_mL_per_J,measured_charge_duration_s,avg_charge_voltage_V,avg_charge_current_A,avg_charge_power_W,input_charge_C,input_energy_J,wait_after_switching_to_electrolysis_s,measured_discharge_duration_s,usable_discharge_duration_s,avg_usable_voltage_V,avg_usable_current_A,avg_usable_power_W,output_energy_J,min_discharge_voltage_V,max_discharge_voltage_V,max_discharge_current_A
discharge_020A_120s_r1.csv,0.2,120,1,3.0,0.07999501611055143,118.0,1.586657522123894,0.20029974734513276,0.31780477905086285,23.6356241125,37.50233634373,0.0,424.0,314.0,0.6124897260273972,0.045819692465753424,0.02647177130361301,8.345298105785,-0.064,1.3047,0.0518561
discharge_020A_30s_r1.csv,0.2,30,1,0.2,0.022207227267978257,30.0,1.49811724137931,0.19997125517241376,0.29958129126879307,5.999188162499999,9.0060770571025,0.0,167.0,146.0,0.7314457142857143,0.04164354464285714,0.027176830526142854,4.0043681051475,-0.049,1.311,0.049411399999999994
discharge_020A_60s_r1.csv,0.2,60,1,1.6,0.08942553844717842,60.0,1.488455172413793,0.1999952370689655,0.2976850835331466,11.9997145875,17.891980610718747,0.0,165.0,142.0,0.6997080882352942,0.04438195882352941,0.028767445047867643,4.085042568621249,-0.0552,1.3073,0.05002257499999999
discharge_030A_120s_r1.csv,0.3,120,1,4.2,0.07717171623856675,119.0,1.5185850877192981,0.3003067802631579,0.45605001906429815,35.736866975,54.4240844277225,0.0,472.0,393.0,0.6266393048128343,0.04524288282085562,0.02710099899966577,10.6985582569725,-0.0628,1.3135,0.049685375
discharge_030A_30s_r1.csv,0.3,30,1,1.6,0.11004632616189845,29.0,1.674121428571428,0.2999759714285714,0.5022086779455358,8.699212849999999,14.539331350745002,0.0,147.0,78.0,0.7786888888888891,0.036352557539682535,0.02297524728265873,1.8425723516387498,-0.064,1.2985,0.04911635
discharge_030A_60s_r1.csv,0.3,60,1,2.2,0.07893180430842042,60.0,1.5420224137931031,0.29972286379310337,0.462187024389612,17.98357095,27.872161535845,0.0,229.0,204.0,0.6784056410256412,0.044983833589743595,0.028842239907089742,5.924772843398749,-0.0427,1.3159999999999998,0.050275475
discharge_040A_120s_r1.csv,0.4,120,1,6.0,0.07666775100010895,120.0,1.6315570175438594,0.3994949736842105,0.6518000811151096,47.939512199999996,78.25976269985374,0.0,500.0,447.0,0.6405429577464787,0.04620405181924883,0.028748171478474176,12.87478469584625,-0.005299999999999999,1.3273,0.050359774999999996
discharge_040A_30s_r1.csv,0.4,30,1,2.2,0.11397563318180554,30.0,1.606941379310345,0.399308052586207,0.6416686149050862,11.979282637499999,19.302371380475,0.0,194.0,167.0,0.68464375,0.04377872328125,0.027690969868281252,4.660783291314999,-0.034,1.3085,0.0501701
discharge_040A_60s_r1.csv,0.4,60,1,4.0,0.10489585498299442,60.0,1.5866655172413793,0.40000970474137926,0.6346863901863792,24.0007468875,38.133060649998754,0.0,313.0,280.0,0.6413531835205992,0.045086698970037455,0.027620401107013103,7.75575775513375,-0.064,1.2934999999999999,0.05052837499999999
