file,charge_current_setpoint_A,charge_duration_setpoint_s,repeat,hydrogen_volume_mL,hydrogen_per_input_energy_mL_per_J,measured_charge_duration_s,avg_charge_voltage_V,avg_charge_current_A,avg_charge_power_W,input_energy_J,measured_discharge_duration_s,usable_discharge_duration_s,avg_usable_voltage_V,avg_usable_current_A,avg_usable_power_W,output_energy_J,min_discharge_voltage_V,max_discharge_voltage_V,max_discharge_current_A
discharge_020A_120s_r1.csv,0.2,120.0,1.0,3.0,0.07999501611055143,118.0,1.586657522123894,0.20029974734513276,0.31780477905086285,37.50233634373,424.0,408.0,0.5919842783505155,0.04664019452319588,0.026360744459246133,10.79413530631375,-0.064,1.3047,0.0518561
discharge_020A_30s_r1.csv,0.2,30.0,1.0,0.2,0.022207227267978257,30.0,1.49811724137931,0.19997125517241376,0.29958129126879307,9.0060770571025,167.0,148.0,0.7284464788732394,0.04171718292253521,0.027136397193292253,4.054505300535,-0.049,1.311,0.049411399999999994
discharge_020A_60s_r1.csv,0.2,60.0,1.0,1.6,0.08942553844717842,60.0,1.488455172413793,0.1999952370689655,0.2976850835331466,17.891980610718747,165.0,144.0,0.6984036496350364,0.04440867098540145,0.02874016175937956,4.13699420964625,-0.0552,1.3073,0.05002257499999999
discharge_030A_120s_r1.csv,0.3,120.0,1.0,4.2,0.07717171623856675,119.0,1.5185850877192981,0.3003067802631579,0.45605001906429815,54.4240844277225,472.0,434.0,0.6177767554479419,0.045417299213075066,0.026910865367717918,11.72839698767,-0.0628,1.3135,0.049685375
discharge_030A_30s_r1.csv,0.3,30.0,1.0,1.6,0.11004632616189845,29.0,1.674121428571428,0.2999759714285714,0.5022086779455358,14.539331350745002,147.0,133.0,0.6576700787401574,0.04191034133858267,0.024256466966299208,3.24275224673125,-0.064,1.2985,0.04911635
discharge_030A_60s_r1.csv,0.3,60.0,1.0,2.2,0.07893180430842042,60.0,1.5420224137931031,0.29972286379310337,0.462187024389612,27.872161535845,229.0,206.0,0.6768771573604062,0.04499786637055837,0.028797939974213194,5.975067633641249,-0.0427,1.3159999999999998,0.050275475
discharge_040A_120s_r1.csv,0.4,120.0,1.0,6.0,0.07666775100010895,120.0,1.6315570175438594,0.3994949736842105,0.6518000811151096,78.25976269985374,500.0,457.0,0.6382508045977011,0.04622138109195403,0.028669020210545973,13.125977925027499,-0.005299999999999999,1.3273,0.050359774999999996
discharge_040A_30s_r1.csv,0.4,30.0,1.0,2.2,0.11397563318180554,30.0,1.606941379310345,0.399308052586207,0.6416686149050862,19.302371380475,194.0,169.0,0.6826234567901235,0.043815479166666664,0.02764987615324074,4.711012546265,-0.034,1.3085,0.0501701
discharge_040A_60s_r1.csv,0.4,60.0,1.0,4.0,0.10489585498299442,60.0,1.5866655172413793,0.40000970474137926,0.6346863901863792,38.133060649998754,313.0,287.0,0.6386204379562044,0.04513003631386862,0.02755349558002737,7.931880594459999,-0.064,1.2934999999999999,0.05052837499999999
discharge_PEM_full.csv,,,,,,1084.0,1.4275659533073928,0.14233717089007783,0.20319483879818334,220.40490466496,752.0,551.0,0.57013606870229,0.04714336350190839,0.0261242751923521,14.35410325764625,-0.064,1.4397,0.13710234999999998
