battery_state,soc_min_percent,soc_max_percent,voltage_min_V,voltage_mean_V,voltage_max_V,remaining_energy_mean_Wh,avg_discharge_current_A,avg_discharge_power_W,ems_state
EMPTY,0.0,19.998292676322738,2.9728,3.7046527372944693,3.8366,0.8059598536383534,-0.15192038023168908,-0.5640038569161062,LOW
LOW,20.000294231970074,39.99865528401661,3.8366,3.864438287281593,3.8903,2.516823826503593,-0.15869764577407558,-0.6132856763482832,LOW
MEDIUM,40.000713831648724,59.99805406207357,3.889,3.9264798595093313,3.9803,4.194602546256435,-0.16119078685258964,-0.6329378723655378,MEDIUM
HIGH,60.00020706702418,79.99967979253091,3.979,4.055727131523075,4.1408,5.870158790804323,-0.16633054810593365,-0.6746758444678176,HIGH
FULL,80.00200475585278,100.0,4.1396,4.23566410912191,4.3666,7.547981718649887,-0.17354784435513335,-0.7352322902901596,HIGH
