time_slot,time_of_day,power_mW
1,00:00,48.285201341795464
2,00:15,46.956592386650705
3,00:30,45.627983431505946
4,00:45,44.299374476361166
5,01:00,42.97076552121641
6,01:15,40.31795644085642
7,01:30,37.665147360496405
8,01:45,35.01233828013641
9,02:00,32.35952919977642
10,02:15,28.705204895965718
11,02:30,25.050880592155014
12,02:45,21.396556288344335
13,03:00,17.742231984533632
14,03:15,14.282778192662734
15,03:30,10.823324400791812
16,03:45,7.363870608920913
17,04:00,3.9044168170500146
18,04:15,2.928312612787499
19,04:30,1.9522084085250073
20,04:45,0.9761042042625162
21,05:00,0.0
22,05:15,4.755656595231578
23,05:30,9.511313190463131
24,05:45,14.266969785694684
25,06:00,19.022626380926262
26,06:15,25.25736313005324
27,06:30,31.49209987918022
28,06:45,37.7268366283072
29,07:00,43.96157337743417
30,07:15,46.84071168562226
31,07:30,49.71984999381036
32,07:45,52.598988301998446
33,08:00,55.47812661018654
34,08:15,57.408831888052596
35,08:30,59.33953716591865
36,08:45,61.27024244378473
37,09:00,63.200947721650785
38,09:15,64.26085476424214
39,09:30,65.32076180683352
40,09:45,66.38066884942488
41,10:00,67.44057589201626
42,10:15,68.3513241274914
43,10:30,69.26207236296656
44,10:45,70.1728205984417
45,11:00,71.08356883391686
46,11:15,71.9676820120813
47,11:30,72.85179519024574
48,11:45,73.73590836841016
49,12:00,74.6200215465746
50,12:15,74.24596770100483
51,12:30,73.87191385543503
52,12:45,73.49786000986522
53,13:00,73.12380616429544
54,13:15,72.82184990482094
55,13:30,72.51989364534646
56,13:45,72.21793738587196
57,14:00,71.91598112639747
58,14:15,72.44685722360458
59,14:30,72.97773332081174
60,14:45,73.50860941801886
61,15:00,74.03948551522599
62,15:15,78.7155725118575
63,15:30,83.39165950848897
64,15:45,88.06774650512044
65,16:00,92.74383350175195
66,16:15,103.42350941526277
67,16:30,114.10318532877362
68,16:45,124.78286124228451
69,17:00,135.46253715579533
70,17:15,139.09690286684648
71,17:30,142.73126857789768
72,17:45,146.36563428894885
73,18:00,150.0
74,18:15,144.43716793196901
75,18:30,138.87433586393806
76,18:45,133.31150379590713
77,19:00,127.74867172787613
78,19:15,123.01402047675066
79,19:30,118.2793692256252
80,19:45,113.54471797449975
81,20:00,108.81006672337428
82,20:15,106.53905542617422
83,20:30,104.26804412897415
84,20:45,101.99703283177409
85,21:00,99.72602153457402
86,21:15,95.03947672376525
87,21:30,90.35293191295646
88,21:45,85.66638710214767
89,22:00,80.97984229133891
90,22:15,74.57935202775391
91,22:30,68.17886176416894
92,22:45,61.77837150058398
93,23:00,55.377881236999
94,23:15,53.604711263198126
95,23:30,51.83154128939722
96,23:45,50.05837131559635
