real_time,demo_cycle,slot,time_label,interval_label,ems_enabled,ems_status,price_dkk_kwh,price_state,demand_mW,pv_available,target_scenario,actual_scenario,scenario_accepted,reject_reason,scheduler_reason,command,panel_voltage_V,battery_voltage_V,pem_voltage_V,load_voltage_V,pv_current_mA,battery_current_mA,pem_current_mA,load_current_mA,pv_power_mW,battery_power_mW,pem_power_mW,load_power_mW,virtual_battery_soc_percent,virtual_battery_charge_mAh,virtual_battery_capacity_mAh,virtual_battery_charge_state,real_battery_soc_percent,real_battery_charge_mAh,real_battery_capacity_mAh,real_battery_charge_state,real_battery_soc_initialized,real_battery_soc_status,real_battery_initial_lookup_voltage,real_battery_lookup_soc_percent,pem_soc_percent,h2_volume_mL,h2_usable_mL,h2_mode,load_trigger
2026-05-11T15:45:32+02:00,0,0,00:00,00:00-00:15,True,running,0.9352706460000001,HIGH,45.752107382290916,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",1.8325,3.672,0.03475,4.989,162.225,46.9,-0.021,-0.008,297.277,172.217,-0.001,-0.04,50.0868764619644,5.0086876461964405,10.0,medium,0.0,0.0014,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.33,0.0,7.6,0.0,empty,1
2026-05-11T15:45:40+02:00,0,1,00:15,00:15-00:30,True,running,0.895591095,HIGH,45.04351593954704,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",1.99,3.67325,0.0335,4.98275,160.275,50.325,-0.042,8.917,318.947,184.856,-0.001,44.431,50.696053144397304,5.06960531443973,10.0,medium,0.0,0.0014,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.35,0.0,7.6,0.0,empty,1
2026-05-11T15:45:48+02:00,0,2,00:30,00:30-00:45,True,running,0.872201879,HIGH,44.33492449680317,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",1.86375,3.67075,0.0335,4.994,161.125,49.25,-0.042,9.217,300.297,180.784,-0.001,46.03,51.30395457181023,5.130395457181023,10.0,medium,0.0,0.0014,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.31,0.0,7.6,0.0,empty,1
2026-05-11T15:45:55+02:00,0,3,00:45,00:45-01:00,True,running,0.8473928550000001,HIGH,43.62633305405929,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",2.08,3.67325,0.03475,4.9765,154.725,49.2,-0.042,8.767,321.828,180.724,-0.001,43.629,51.82484367844231,5.182484367844231,10.0,medium,0.0,0.0015,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.35,0.0,7.6,0.0,empty,1
2026-05-11T15:46:03+02:00,0,4,01:00,01:00-01:15,True,running,0.877656848,HIGH,42.91774161131542,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",2.2225,3.682,0.0435,4.9865,153.45,50.25,-0.042,8.242,341.043,185.021,-0.002,41.099,52.43232041776984,5.2432320417769835,10.0,medium,0.0,0.0014,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.49,0.0,7.6,0.0,empty,1
2026-05-11T15:46:10+02:00,0,5,01:15,01:15-01:30,True,running,0.845748868,HIGH,41.50291010179009,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",1.96125,3.67575,0.03475,5.01775,159.6,48.375,-0.042,9.267,313.015,177.814,-0.001,46.499,52.88361995252559,5.288361995252559,10.0,medium,0.0,0.0015,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.39,0.0,7.6,0.0,empty,1
2026-05-11T15:46:18+02:00,0,6,01:30,01:30-01:45,True,running,0.8247508840000001,HIGH,40.08807859226475,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",1.83875,3.6795,0.041,4.98525,163.575,49.45,-0.042,8.267,300.774,181.951,-0.002,41.213,53.42147985720042,5.342147985720041,10.0,medium,0.0,0.0014,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.45,0.0,7.6,0.0,empty,1
2026-05-11T15:46:25+02:00,0,7,01:45,01:45-02:00,True,running,0.809581454,HIGH,38.67324708273942,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",1.91,3.67825,0.0385,4.9815,161.05,51.525,-0.042,7.817,307.606,189.522,-0.002,38.94,53.945452071954755,5.394545207195475,10.0,medium,0.0,0.0015,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.43,0.0,7.6,0.0,empty,1
2026-05-11T15:46:33+02:00,0,8,02:00,02:00-02:15,True,running,0.8302058449999999,HIGH,37.258415573214094,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",2.38125,3.692,0.041,4.9865,149.9,56.525,-0.042,6.967,356.949,208.69,-0.002,34.741,54.555735919941995,5.455573591994199,10.0,medium,0.0,0.0014,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.65,0.0,7.6,0.0,empty,1
2026-05-11T15:46:40+02:00,0,9,02:15,02:15-02:30,True,running,0.821014584,HIGH,35.309442611181716,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",1.83875,3.67825,0.041,4.9865,163.025,47.725,-0.042,6.967,299.762,175.544,-0.002,34.741,55.07946413190281,5.507946413190281,10.0,medium,0.0,0.0021,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.43,0.0,7.6,0.0,empty,1
2026-05-11T15:46:48+02:00,0,10,02:30,02:30-02:45,True,running,0.822658504,HIGH,33.36046964914934,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",1.83625,3.677,0.041,4.9865,162.45,47.45,-0.042,6.992,298.299,174.474,-0.002,34.866,55.68974634124553,5.568974634124553,10.0,medium,0.0,0.002,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.41,0.0,7.6,0.0,empty,1
2026-05-11T15:46:55+02:00,0,11,02:45,02:45-03:00,True,running,0.826768457,HIGH,31.41149668711698,False,2,2,1,,Demo logging started. Hydrogen state was not reset; the current estimated hydrogen state is used.,"SCENARIO,2",1.9775,3.677,0.041,4.98775,155.875,47.3,-0.042,6.442,308.243,173.922,-0.002,32.131,56.21360537951233,5.621360537951233,10.0,medium,0.0,0.0014,1710.8108,empty,True,current_integrated_after_lookup_initialisation,3.677,4.41,0.0,7.6,0.0,empty,1
