real_time,demo_cycle,slot,time_label,interval_label,ems_enabled,ems_status,price_dkk_kwh,price_state,demand_mW,pv_available,target_scenario,actual_scenario,scenario_accepted,reject_reason,scheduler_reason,command,panel_voltage_V,battery_voltage_V,pem_voltage_V,load_voltage_V,pv_current_mA,battery_current_mA,pem_current_mA,load_current_mA,pv_power_mW,battery_power_mW,pem_power_mW,load_power_mW,virtual_battery_soc_percent,virtual_battery_charge_mAh,virtual_battery_capacity_mAh,virtual_battery_charge_state,real_battery_soc_percent,real_battery_charge_mAh,real_battery_capacity_mAh,real_battery_charge_state,real_battery_soc_initialized,real_battery_soc_status,real_battery_initial_lookup_voltage,real_battery_lookup_soc_percent,pem_soc_percent,h2_volume_mL,h2_usable_mL,h2_mode,load_trigger
2026-05-12T13:33:02+02:00,0,0,00:00,00:00-00:15,True,running,0.9906426340000001,HIGH,34.314081,False,5,1,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",2.98125,3.6945,1.03975,5.124,0.025,-0.025,-0.042,-0.008,0.075,-0.092,-0.044,-0.041,20.0,2.0,10.0,low,4.687921117507742,93.75842235015485,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,4.687942315395915,100.0,15.6,8.0,idle,1
2026-05-12T13:33:18+02:00,0,1,00:15,00:15-00:30,True,running,0.9415476,HIGH,33.782637,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",2.945,3.64325,1.00975,3.604,0.075,-10.175,-0.042,10.292,0.221,-37.07,-0.043,37.092,19.590512179608204,1.9590512179608202,10.0,low,4.686185554701169,93.72371109402337,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.866737882227269,100.0,15.6,8.0,idle,1
2026-05-12T13:33:32+02:00,0,2,00:30,00:30-00:45,True,running,0.9198023040000001,HIGH,33.251193,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",2.96875,3.64325,1.0085,3.6065,0.075,-10.125,-0.042,10.292,0.223,-36.888,-0.043,37.118,19.21663952462786,1.9216639524627857,10.0,low,4.684149067642642,93.68298135285283,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.866737882227269,100.0,15.6,8.0,idle,1
2026-05-12T13:33:48+02:00,0,3,00:45,00:45-01:00,True,running,0.8888657480000001,HIGH,32.719749,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",2.98375,3.6445,1.00725,3.609,0.125,-9.775,-0.042,9.867,0.373,-35.625,-0.042,35.61,18.81957744333348,1.881957744333348,10.0,low,4.68198127346906,93.63962546938122,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.8867672586460125,100.0,15.6,8.0,idle,1
2026-05-12T13:34:02+02:00,0,4,01:00,01:00-01:15,True,running,0.883037127,HIGH,32.188306,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.02,3.64325,1.006,3.6065,0.125,-10.2,-0.042,10.192,0.378,-37.161,-0.042,36.757,18.457269970002212,1.8457269970002212,10.0,low,4.680001426066869,93.60002852133738,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.866737882227269,100.0,15.6,8.0,idle,1
2026-05-12T13:34:18+02:00,0,5,01:15,01:15-01:30,True,running,0.870632641,HIGH,31.127182,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.30125,3.647,1.00475,3.614,0.15,-9.025,-0.042,9.142,0.495,-32.914,-0.042,33.039,18.074024251292634,1.8074024251292633,10.0,low,4.677862792852216,93.55725585704432,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.9268260114835067,100.0,15.6,8.0,idle,1
2026-05-12T13:34:32+02:00,0,6,01:30,01:30-01:45,True,running,0.8665226890000001,HIGH,30.066059,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.225,3.647,1.00475,3.61525,0.15,-8.8,-0.042,8.967,0.484,-32.094,-0.042,32.418,17.730115410834635,1.7730115410834635,10.0,low,4.676112349269177,93.52224698538353,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.9268260114835067,100.0,15.6,8.0,idle,1
2026-05-12T13:34:47+02:00,0,7,01:45,01:45-02:00,True,running,0.861590802,HIGH,29.004935,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.18875,3.647,1.0035,3.61525,0.15,-8.8,-0.042,8.967,0.478,-32.094,-0.042,32.418,17.397279077691742,1.739727907769174,10.0,low,4.674333048934378,93.48666097868755,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.9268260114835067,100.0,15.6,8.0,idle,1
2026-05-12T13:35:03+02:00,0,8,02:00,02:00-02:15,True,running,0.85546327,HIGH,27.943812,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.145,3.647,1.00225,3.61525,0.15,-8.825,-0.042,8.992,0.472,-32.185,-0.042,32.508,17.052442453272597,1.7052442453272596,10.0,low,4.672444637212634,93.44889274425269,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.9268260114835067,100.0,15.6,8.0,idle,1
2026-05-12T13:35:17+02:00,0,9,02:15,02:15-02:30,True,running,0.8612918909999999,HIGH,26.482082,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.13375,3.64325,0.996,3.61275,0.15,-8.3,-0.042,8.117,0.47,-30.239,-0.042,29.325,16.744409327188947,1.6744409327188947,10.0,low,4.670733257402406,93.41466514804813,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.866737882227269,100.0,15.6,8.0,idle,1
2026-05-12T13:35:33+02:00,0,10,02:30,02:30-02:45,True,running,0.858302843,HIGH,25.020352,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.24875,3.6495,0.99975,3.619,0.15,-7.975,-0.042,8.267,0.487,-29.105,-0.042,29.918,16.430194932389348,1.643019493238935,10.0,low,4.668960932677726,93.37921865355452,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.9668847643210077,100.0,15.6,8.0,idle,1
2026-05-12T13:35:47+02:00,0,11,02:45,02:45-03:00,True,running,0.8700348179999999,HIGH,23.558623,False,5,5,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",3.16125,3.65075,0.99975,3.62275,0.15,-7.6,-0.042,7.742,0.474,-27.746,-0.042,28.047,16.154484364239934,1.6154484364239934,10.0,low,4.667414694519957,93.34829389039915,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.6945,3.9869141407397515,100.0,15.6,8.0,idle,1
