real_time,demo_cycle,slot,time_label,interval_label,ems_enabled,ems_status,price_dkk_kwh,price_state,demand_mW,pv_available,target_scenario,actual_scenario,scenario_accepted,reject_reason,scheduler_reason,command,panel_voltage_V,battery_voltage_V,pem_voltage_V,load_voltage_V,pv_current_mA,battery_current_mA,pem_current_mA,load_current_mA,pv_power_mW,battery_power_mW,pem_power_mW,load_power_mW,virtual_battery_soc_percent,virtual_battery_charge_mAh,virtual_battery_capacity_mAh,virtual_battery_charge_state,real_battery_soc_percent,real_battery_charge_mAh,real_battery_capacity_mAh,real_battery_charge_state,real_battery_soc_initialized,real_battery_soc_status,real_battery_initial_lookup_voltage,real_battery_lookup_soc_percent,pem_soc_percent,h2_volume_mL,h2_usable_mL,h2_mode,load_trigger
2026-05-12T11:31:45+02:00,0,0,00:00,00:00-00:15,True,running,0.709187715,HIGH,34.314081,False,5,1,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",1.82625,3.68825,1.3285,5.11775,0.425,-0.025,-0.042,-0.008,0.776,-0.092,-0.056,-0.041,50.0,5.0,10.0,medium,4.627648139257876,92.55296278515753,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,4.587795433302177,49.98642444483541,11.598913955586832,3.9989139555868327,idle,1
2026-05-12T11:32:00+02:00,0,1,00:15,00:15-00:30,True,running,0.522512145,LOW,33.782637,False,1,5,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",1.8025,3.63575,1.296,3.599,0.45,-10.0,-0.042,9.942,0.811,-36.357,-0.055,35.781,49.59129543917952,4.959129543917952,10.0,medium,4.626018579681457,92.52037159362914,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,3.7465616237147796,49.98642444483541,11.598913955586832,3.9989139555868327,idle,1
2026-05-12T11:32:15+02:00,0,2,00:30,00:30-00:45,True,running,0.491125567,LOW,33.251193,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",1.83,3.69075,1.32475,5.11025,0.45,-0.025,-0.042,7.167,0.823,-0.092,-0.056,36.625,49.59129543917952,4.959129543917952,10.0,medium,4.626013548913546,92.52027097827093,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,4.627854186139672,49.98642444483541,11.598913955586832,3.9989139555868327,idle,1
2026-05-12T11:32:31+02:00,0,3,00:45,00:45-01:00,True,running,0.44150485500000003,LOW,32.719749,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",1.83,3.69075,1.3235,5.109,0.45,-0.025,-0.042,7.142,0.823,-0.092,-0.056,36.488,49.59129543917952,4.959129543917952,10.0,medium,4.626008130400107,92.52016260800214,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,4.627854186139672,49.98642444483541,11.598913955586832,3.9989139555868327,idle,1
2026-05-12T11:32:45+02:00,0,4,01:00,01:00-01:15,True,running,0.42379382299999996,LOW,32.188306,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",1.83125,3.69075,1.321,5.1115,0.475,-0.025,-0.042,6.992,0.87,-0.092,-0.056,35.74,49.59129543917952,4.959129543917952,10.0,medium,4.6260030950108595,92.52006190021719,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,4.627854186139672,49.98642444483541,11.598913955586832,3.9989139555868327,idle,1
2026-05-12T11:33:01+02:00,0,5,01:15,01:15-01:30,True,running,0.40832471299999995,LOW,31.127182,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",1.83125,3.69075,1.31975,5.11025,0.5,-0.025,-0.042,6.942,0.916,-0.092,-0.056,35.475,49.59129543917952,4.959129543917952,10.0,medium,4.625997672436888,92.51995344873777,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,4.627854186139672,49.98642444483541,11.598913955586832,3.9989139555868327,idle,1
2026-05-12T11:33:15+02:00,0,6,01:30,01:30-01:45,True,running,0.406381747,LOW,30.066059,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",1.8325,3.69075,1.31725,5.11025,0.5,-0.025,-0.042,6.367,0.916,-0.092,-0.056,32.537,49.59129543917952,4.959129543917952,10.0,medium,4.6259926462453125,92.51985292490625,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,4.627854186139672,49.98642444483541,11.598913955586832,3.9989139555868327,idle,1
2026-05-12T11:33:31+02:00,0,7,01:45,01:45-02:00,True,running,0.397563607,LOW,29.004935,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",1.8325,3.69075,1.31475,5.11025,0.525,-0.025,-0.042,6.367,0.962,-0.092,-0.055,32.537,49.59129543917952,4.959129543917952,10.0,medium,4.625987225327414,92.51974450654829,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,4.627854186139672,49.98642444483541,11.598913955586832,3.9989139555868327,idle,1
2026-05-12T11:33:45+02:00,0,8,02:00,02:00-02:15,True,running,0.39188411300000003,LOW,27.943812,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",1.86375,3.69075,1.3135,5.11025,1.025,-0.025,-0.042,6.367,1.91,-0.092,-0.055,32.537,49.59129543917952,4.959129543917952,10.0,medium,4.6259821917313655,92.51964383462732,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,4.627854186139672,49.98642444483541,11.598913955586832,3.9989139555868327,idle,1
2026-05-12T11:34:01+02:00,0,9,02:15,02:15-02:30,True,running,0.376564463,LOW,26.482082,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",1.8625,3.69075,1.311,5.11025,1.0,-0.025,-0.042,6.017,1.863,-0.092,-0.055,30.748,49.59129543917952,4.959129543917952,10.0,medium,4.625976782202046,92.51953564404091,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69075,4.627854186139672,49.98642444483541,11.598913955586832,3.9989139555868327,idle,1
