real_time,demo_cycle,slot,time_label,interval_label,ems_enabled,ems_status,price_dkk_kwh,price_state,demand_mW,pv_available,target_scenario,actual_scenario,scenario_accepted,reject_reason,scheduler_reason,command,panel_voltage_V,battery_voltage_V,pem_voltage_V,load_voltage_V,pv_current_mA,battery_current_mA,pem_current_mA,load_current_mA,pv_power_mW,battery_power_mW,pem_power_mW,load_power_mW,virtual_battery_soc_percent,virtual_battery_charge_mAh,virtual_battery_capacity_mAh,virtual_battery_charge_state,real_battery_soc_percent,real_battery_charge_mAh,real_battery_capacity_mAh,real_battery_charge_state,real_battery_soc_initialized,real_battery_soc_status,real_battery_initial_lookup_voltage,real_battery_lookup_soc_percent,pem_soc_percent,h2_volume_mL,h2_usable_mL,h2_mode,load_trigger
2026-05-12T11:53:31+02:00,0,0,00:00,00:00-00:15,True,running,0.709187715,HIGH,34.314081,False,5,1,1,,"HIGH price, PV unavailable and battery has energy -> battery supplies load.","SCENARIO,5",2.485,3.6895,1.21725,5.119,0.025,-0.025,-0.042,-0.008,0.062,-0.092,-0.051,-0.041,75.0,7.5,10.0,medium,4.667891071762536,93.35782143525074,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69325,4.6078248097209205,50.0,11.6,4.0,idle,1
2026-05-12T11:53:46+02:00,0,1,00:15,00:15-00:30,True,running,0.522512145,LOW,33.782637,False,1,5,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",2.50125,3.637,1.1885,3.59775,0.025,-10.4,-0.042,10.617,0.063,-37.825,-0.05,38.197,74.59079399419859,7.459079399419859,10.0,medium,4.666293980027827,93.32587960055655,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69325,3.76659100013353,50.0,11.6,4.0,idle,1
2026-05-12T11:54:01+02:00,0,2,00:30,00:30-00:45,True,running,0.491125567,LOW,33.251193,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",2.5575,3.6945,1.21975,5.11025,0.025,-0.025,-0.042,6.617,0.064,-0.092,-0.051,33.815,74.59079399419859,7.459079399419859,10.0,medium,4.666288943222602,93.32577886445205,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69325,4.687942315395915,50.0,11.6,4.0,idle,1
2026-05-12T11:54:17+02:00,0,3,00:45,00:45-01:00,True,running,0.44150485500000003,LOW,32.719749,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",2.5825,3.69325,1.20975,5.10025,0.025,-0.025,-0.042,6.392,0.065,-0.092,-0.051,32.601,74.59079399419859,7.459079399419859,10.0,medium,4.666283533568888,93.32567067137776,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69325,4.667912938977166,50.0,11.6,4.0,idle,1
2026-05-12T11:54:31+02:00,0,4,01:00,01:00-01:15,True,running,0.42379382299999996,LOW,32.188306,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",2.6075,3.6945,1.2185,5.11025,0.025,-0.025,-0.042,6.617,0.065,-0.092,-0.051,33.815,74.59079399419859,7.459079399419859,10.0,medium,4.666278496780646,93.32556993561293,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69325,4.687942315395915,50.0,11.6,4.0,idle,1
2026-05-12T11:54:47+02:00,0,5,01:15,01:15-01:30,True,running,0.40832471299999995,LOW,31.127182,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",2.64125,3.6945,1.21725,5.11025,0.025,-0.025,-0.042,6.617,0.066,-0.092,-0.051,33.815,74.59079399419859,7.459079399419859,10.0,medium,4.666273088797394,93.32546177594787,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69325,4.687942315395915,50.0,11.6,4.0,idle,1
2026-05-12T11:55:01+02:00,0,6,01:30,01:30-01:45,True,running,0.406381747,LOW,30.066059,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",2.68625,3.6945,1.216,5.11025,0.025,-0.025,-0.042,6.592,0.067,-0.092,-0.051,33.687,74.59079399419859,7.459079399419859,10.0,medium,4.666268061559593,93.32536123119185,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69325,4.687942315395915,50.0,11.6,4.0,idle,1
2026-05-12T11:55:17+02:00,0,7,01:45,01:45-02:00,True,running,0.397563607,LOW,29.004935,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",2.72,3.6895,1.20975,5.10525,0.025,-0.025,-0.042,6.442,0.068,-0.092,-0.051,32.888,74.59079399419859,7.459079399419859,10.0,medium,4.666262638959219,93.32525277918437,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69325,4.6078248097209205,50.0,11.6,4.0,idle,1
2026-05-12T11:55:31+02:00,0,8,02:00,02:00-02:15,True,running,0.39188411300000003,LOW,27.943812,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",2.77,3.69325,1.21475,5.12025,0.025,-0.025,-0.042,6.292,0.069,-0.092,-0.051,32.217,74.59079399419859,7.459079399419859,10.0,medium,4.666257606505085,93.3251521301017,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69325,4.667912938977166,50.0,11.6,4.0,idle,1
2026-05-12T11:55:47+02:00,0,9,02:15,02:15-02:30,True,running,0.376564463,LOW,26.482082,False,1,1,1,,LOW price and PV unavailable -> grid supplies load.,"SCENARIO,1",2.82,3.692,1.211,5.1065,0.0,-0.025,-0.042,5.592,0.0,-0.092,-0.051,28.556,74.59079399419859,7.459079399419859,10.0,medium,4.666252193354845,93.3250438670969,2000.0,empty,True,python_current_integrated_after_lookup_initialisation,3.69325,4.647883562558421,50.0,11.6,4.0,idle,1
